#depth	age	UK37	SST
181.08	3323.36	0.922	25.98
181.18	3326.37	0.924	26.03
181.28	3329.24	0.943	26.59
181.38	3332.08	0.935	26.36
181.48	3334.90	0.935	26.34
181.58	3337.70	0.927	26.13
181.68	3340.49	0.948	26.73
181.78	3343.28	0.944	26.62
181.88	3346.31	0.943	26.60
181.98	3349.71	0.942	26.55
182.08	3353.20	0.944	26.63
182.18	3356.68	0.946	26.67
182.28	3360.18	0.947	26.69
182.37	3363.32	0.914	25.72
182.48	3367.16	0.938	26.44
182.58	3370.50	0.926	26.09
182.68	3373.19	0.933	26.29
182.77	3375.31	0.923	26.01
182.88	3377.77	0.926	26.08
182.98	3380.01	0.921	25.93
183.08	3382.24	0.922	25.96
183.18	3384.57	0.925	26.04
183.28	3386.94	0.931	26.24
183.38	3389.45	0.932	26.26
183.48	3392.12	0.942	26.57
183.57	3394.54	0.954	26.92
183.67	3397.22	0.947	26.69
183.77	3399.90	0.952	26.86
183.88	3402.93	0.943	26.60
183.98	3405.98	0.951	26.82
184.07	3409.24	0.950	26.80
184.18	3413.39	0.955	26.94
184.28	3417.19	0.951	26.82
184.38	3420.98	0.945	26.64
184.48	3424.77	0.948	26.73
184.58	3428.56	0.934	26.33
184.68	3432.29	0.939	26.48
184.78	3435.53	0.941	26.53
184.88	3438.41	0.952	26.86
184.97	3440.85	0.941	26.53
185.37	3451.62	0.981	27.70
185.47	3454.32	0.963	27.19
185.67	3459.71	0.957	27.01
185.77	3462.34	0.959	27.06
185.87	3464.69	0.947	26.71
185.96	3466.64	0.948	26.74
186.07	3469.06	0.945	26.66
186.17	3471.85	0.938	26.43
186.28	3475.61	0.948	26.74
186.38	3479.38	0.945	26.65
186.47	3483.12	0.942	26.55
186.58	3487.97	0.934	26.31
186.67	3492.00	0.944	26.61
186.76	3496.05	0.959	27.06
186.86	3500.75	0.948	26.74
186.96	3505.47	0.957	27.00
187.06	3509.74	0.952	26.87
187.16	3513.07	0.957	27.00
187.26	3515.84	0.958	27.02
187.375	3519.03	0.931	26.24
187.475	3521.61	0.936	26.37
187.575	3523.92	0.947	26.69
187.675	3526.16	0.950	26.80
187.775	3528.28	0.953	26.87
187.875	3530.46	0.952	26.87
187.975	3533.08	0.952	26.87
188.075	3536.23	0.945	26.63
188.175	3540.17	0.948	26.74
