#depth	age	UK37	SST
124.35	1921.05	0.909	25.58
124.45	1923.14	0.931	26.22
124.55	1925.23	0.913	25.70
124.63	1926.90	0.925	26.05
124.75	1929.41	0.941	26.53
124.85	1931.50	0.936	26.37
124.95	1933.59	0.929	26.16
125.05	1935.67	0.922	25.96
125.15	1937.76	0.920	25.92
125.25	1939.85	0.920	25.92
125.35	1941.94	0.909	25.59
125.45	1944.03	0.879	24.69
125.55	1946.12	0.871	24.48
125.65	1948.73	0.870	24.46
125.75	1952.14	0.909	25.59
125.84	1955.20	0.927	26.12
125.95	1958.95	0.912	25.67
126.05	1962.35	0.928	26.16
126.13	1965.08	0.940	26.51
126.25	1969.16	0.935	26.35
126.35	1972.57	0.920	25.90
126.4	1974.27	0.933	26.30
126.5	1977.68	0.948	26.73
126.6	1981.08	0.956	26.96
126.8	1987.89	0.957	26.99
126.9	1991.30	0.958	27.04
127	1994.70	0.955	26.93
127.1	1998.11	0.949	26.77
127.2	2001.51	0.943	26.58
127.3	2004.92	0.935	26.36
127.4	2010.82	0.927	26.12
127.5	2017.01	0.926	26.07
127.6	2023.19	0.937	26.42
127.7	2029.37	0.941	26.53
127.8	2035.56	0.932	26.27
127.9	2041.74	0.940	26.49
128	2047.92	0.923	26.01
128.1	2054.10	0.903	25.41
128.2	2060.29	0.874	24.56
128.3	2066.47	0.870	24.44
128.4	2071.99	0.863	24.25
128.5	2074.68	0.866	24.34
128.6	2076.91	0.873	24.53
128.7	2079.14	0.867	24.35
128.8	2081.37	0.871	24.48
128.9	2083.60	0.885	24.88
129	2085.83	0.846	23.75
129.1	2088.06	0.878	24.67
129.2	2090.29	0.863	24.24
129.3	2092.52	0.882	24.80
129.4	2094.75	0.905	25.46
129.5	2096.97	0.930	26.21
129.6	2099.76	0.923	26.01
129.7	2102.68	0.881	24.77
129.8	2105.60	0.858	24.10
129.9	2108.52	0.858	24.09
130.06	2113.12	0.885	24.90
130.17	2115.48	0.947	26.71
130.28	2117.85	0.929	26.17
130.37	2119.78	0.921	25.93
130.47	2121.93	0.912	25.68
130.58	2124.30	0.901	25.34
130.67	2126.23	0.905	25.46
130.77	2128.38	0.911	25.63
130.87	2130.53	0.914	25.73
130.96	2132.47	0.922	25.98
131.07	2134.84	0.938	26.44
131.17	2136.99	0.938	26.43
131.28	2139.35	0.952	26.86
131.37	2141.29	0.957	27.00
131.46	2143.22	0.938	26.45
131.54	2144.94	0.920	25.92
131.67	2147.74	0.904	25.45
131.77	2149.89	0.887	24.93
131.87	2152.04	0.848	23.78
131.97	2154.19	0.837	23.46
132.07	2155.85	0.854	23.96
132.155	2157.26	0.863	24.23
132.23	2158.50	0.851	23.89
132.26	2159.00	0.859	24.11
132.355	2160.57	0.883	24.83
132.46	2162.32	0.873	24.52
132.56	2163.97	0.911	25.64
132.655	2165.55	0.913	25.70
132.755	2167.21	0.932	26.27
132.855	2168.87	0.915	25.75
132.955	2170.52	0.910	25.63
133.04	2171.93	0.915	25.78
133.16	2173.92	0.922	25.98
133.26	2175.58	0.934	26.31
133.36	2177.24	0.932	26.27
133.46	2178.90	0.934	26.33
