#%		No tun			Min tun Muller/MacDo	Age model deMenocal
#%m	%terr	age	sr	flux	age	sr	flux 	age	sr	flux
24.95	28.42	800.4	3.12	0.93	652.63	4.07	1.21	651.4	7.09	2.12
25	30.94	802.1	3.12	1.01	653.86	4.08	1.33	652.1	7.09	2.30
25.05	32.45	803.7	3.12	1.06	655.08	4.08	1.39	652.81	7.09	2.42
25.1	31.94	805.3	3.12	1.05	656.31	4.07	1.36	653.51	7.09	2.38
25.15	33.45	806.9	3.12	1.09	657.54	4.07	1.43	654.22	7.04	2.47
25.2	35.96	808.5	3.12	1.18	658.77	4.07	1.53	654.93	7.09	2.68
25.25	35.96	810.1	3.12	1.18	660.00	4.08	1.54	655.63	7.09	2.68
25.3	33.45	811.7	3.12	1.09	661.22	4.08	1.43	656.34	7.09	2.49
25.35	31.94	813.3	3.12	1.05	662.45	4.07	1.36	657.04	7.09	2.38
25.4	29.93	814.9	3.12	0.98	663.68	4.07	1.28	657.75	7.09	2.23
25.45	28.93	816.5	3.12	0.95	664.91	4.08	1.24	658.45	7.09	2.15
25.5	27.92	818.1	3.12	0.91	666.13	4.08	1.20	659.16	7.09	2.08
25.55	27.42	819.7	3.12	0.90	667.36	4.07	1.17	659.86	7.09	2.04
25.6	30.94	821.3	3.12	1.01	668.59	4.07	1.32	660.57	7.09	2.30
25.65	31.44	822.9	3.12	1.03	669.82	4.08	1.35	661.27	7.09	2.34
25.7	29.43	824.5	3.12	0.96	671.04	4.08	1.26	661.98	7.08	2.19
25.8	24.91	827.7	3.12	0.82	673.50	4.07	1.06	663.39	7.11	1.86
25.85	25.41	829.3	3.12	0.83	674.73	4.08	1.09	664.09	7.09	1.89
25.9	26.92	830.9	3.12	0.88	675.95	4.08	1.15	664.8	7.04	1.99
25.95	28.42	832.5	3.12	0.93	677.18	4.07	1.21	665.51	7.09	2.12
26	28.93	834.1	3.12	0.95	678.41	4.07	1.23	666.21	7.09	2.15
26.05	31.94	835.7	3.12	1.05	679.64	4.07	1.36	666.92	4.88	1.64
26.1	33.45	837.3	3.12	1.09	680.87	4.08	1.43	668.26	2.93	1.03
26.15	32.95	838.9	3.12	1.08	682.09	4.08	1.41	670.33	2.42	0.84
26.2	27.92	840.6	3.12	0.91	683.32	4.07	1.19	672.4	2.42	0.71
26.25	19.38	842.2	3.12	0.63	684.55	4.07	0.83	674.47	2.42	0.49
26.3	17.37	843.8	3.12	0.57	685.78	4.08	0.74	676.53	2.42	0.44
26.35	18.87	845.4	3.12	0.62	687.00	4.08	0.81	678.6	2.42	0.48
26.4	18.87	847.0	3.12	0.62	688.23	4.07	0.81	680.67	2.42	0.48
26.45	18.37	848.6	3.12	0.60	689.46	4.07	0.78	682.73	2.42	0.47
26.5	18.37	850.2	3.12	0.60	690.69	4.08	0.79	684.8	2.42	0.47
26.55	16.86	851.8	3.12	0.55	691.91	4.08	0.72	686.87	2.42	0.43
26.6	14.85	853.4	3.12	0.49	693.14	4.07	0.63	688.94	2.42	0.38
26.65	13.85	855.0	3.12	0.45	694.37	4.07	0.59	691.01	2.42	0.35
26.7	13.35	856.6	3.12	0.44	695.60	4.08	0.57	693.07	2.42	0.34
26.75	13.35	858.2	3.12	0.44	696.82	4.08	0.57	695.14	2.42	0.34
26.8	12.84	859.8	3.12	0.42	698.05	4.07	0.55	697.21	2.42	0.33
26.85	12.34	861.4	3.12	0.40	699.28	3.72	0.48	699.28	2.42	0.31
26.9	14.85	863.0	3.12	0.49	700.74	3.41	0.53	701.34	2.42	0.38
26.95	20.38	864.6	3.12	0.67	702.21	3.41	0.73	703.41	2.42	0.52
27	23.90	866.2	3.12	0.78	703.67	3.41	0.86	705.48	2.42	0.61
27.05	25.41	867.8	3.12	0.83	705.14	3.41	0.91	707.54	2.42	0.65
27.1	29.93	869.4	3.12	0.98	706.60	3.42	1.08	709.61	2.42	0.76
27.15	33.95	871.0	3.12	1.11	708.06	3.41	1.22	711.68	2.42	0.86
27.2	34.96	872.6	3.12	1.14	709.53	3.41	1.25	713.75	2.42	0.89
27.25	36.97	874.2	3.12	1.21	710.99	3.42	1.33	715.82	2.42	0.94
27.3	37.47	875.8	3.12	1.23	712.45	3.41	1.34	717.88	3.00	1.18
27.35	37.98	877.4	3.12	1.24	713.92	3.41	1.36	719.15	4.03	1.61
27.4	38.48	879.1	3.12	1.26	715.38	3.41	1.38	720.36	4.12	1.66
27.45	35.46	880.7	3.12	1.16	716.85	3.41	1.27	721.58	4.10	1.53
27.5	28.42	882.3	3.12	0.93	718.31	3.42	1.02	722.8	4.12	1.23
27.55	21.39	883.9	3.12	0.70	719.77	3.42	0.77	724.01	4.11	0.92
27.65	18.87	887.1	3.12	0.62	722.70	3.42	0.68	726.45	4.11	0.81
27.7	18.87	888.7	3.12	0.62	724.16	3.41	0.68	727.66	4.12	0.82
27.75	17.37	890.3	3.12	0.57	725.63	3.41	0.62	728.88	4.12	0.75
27.8	16.36	891.9	3.12	0.54	727.09	3.41	0.59	730.09	4.12	0.71
27.85	16.36	893.5	3.12	0.54	728.56	3.41	0.59	731.31	4.10	0.70
27.9	14.85	895.1	3.12	0.49	730.02	3.42	0.53	732.53	4.12	0.64
27.95	15.36	896.7	3.12	0.50	731.48	3.41	0.55	733.74	4.08	0.66
28	12.84	898.3	3.12	0.42	732.95	3.41	0.46	734.98	3.45	0.46
28.05	13.35	899.9	3.12	0.44	734.41	3.42	0.48	736.64	3.01	0.42
28.1	14.35	901.5	3.12	0.47	735.87	3.41	0.51	738.3	3.01	0.45
28.15	15.36	903.1	3.12	0.50	737.34	3.41	0.55	739.96	3.01	0.49
28.2	18.87	904.7	3.12	0.62	738.80	3.41	0.68	741.62	3.00	0.60
28.25	24.40	906.3	3.12	0.80	740.27	3.41	0.87	743.29	3.00	0.77
28.3	26.92	907.9	3.12	0.88	741.73	3.42	0.97	744.95	3.01	0.85
28.35	26.92	909.5	3.12	0.88	743.19	3.41	0.96	746.61	3.01	0.85
28.4	22.39	911.1	3.12	0.73	744.66	3.41	0.80	748.27	3.01	0.71
28.45	16.36	912.7	3.12	0.54	746.12	3.42	0.59	749.93	3.01	0.52
28.5	15.86	914.3	3.12	0.52	747.58	3.41	0.57	751.59	3.01	0.50
28.55	17.87	915.9	3.12	0.58	749.05	3.41	0.64	753.25	3.01	0.57
28.6	16.36	917.5	3.12	0.54	750.51	3.41	0.59	754.91	3.00	0.52
28.65	15.86	919.2	3.12	0.52	751.98	3.41	0.57	756.58	3.00	0.50
28.7	17.37	920.8	3.12	0.57	753.44	3.42	0.62	758.24	3.01	0.55
28.75	18.87	922.4	3.12	0.62	754.90	3.41	0.68	759.9	3.01	0.60
28.8	18.37	924.0	3.12	0.60	756.37	3.41	0.66	761.56	3.01	0.58
28.85	19.38	925.6	3.12	0.63	757.83	3.42	0.70	763.22	3.01	0.61
28.9	19.88	927.2	3.12	0.65	759.29	3.41	0.71	764.88	3.01	0.63
28.95	17.37	928.8	3.12	0.57	760.76	3.41	0.62	766.54	3.00	0.55
29	17.37	930.4	3.12	0.57	762.22	3.41	0.62	768.21	3.00	0.55
29.05	16.86	932.0	3.12	0.55	763.69	3.42	0.60	769.87	3.01	0.53
29.15	20.88	935.2	3.12	0.68	766.61	3.42	0.75	773.19	3.01	0.66
29.2	21.39	936.8	3.12	0.70	768.08	3.41	0.77	774.85	3.01	0.68
29.25	20.88	938.4	3.12	0.68	769.54	3.42	0.75	776.51	3.01	0.66
29.3	19.38	940.0	3.12	0.63	771.00	3.41	0.69	778.17	3.50	0.71
29.35	16.86	941.6	3.12	0.55	772.47	3.41	0.60	779.37	4.27	0.76
29.4	16.36	943.2	3.12	0.54	773.93	3.41	0.59	780.51	4.39	0.75
29.45	16.36	944.8	3.12	0.54	775.40	3.41	0.59	781.65	4.41	0.76
29.5	18.87	946.4	3.12	0.62	776.86	3.42	0.68	782.78	4.41	0.87
29.55	21.89	948.0	3.12	0.72	778.32	3.41	0.78	783.92	4.41	1.01
29.6	25.91	949.6	3.12	0.85	779.79	3.41	0.93	785.05	4.41	1.20
29.65	27.92	951.2	3.12	0.91	781.25	3.42	1.00	786.19	4.39	1.29
29.7	30.44	952.8	3.12	1.00	782.71	3.41	1.09	787.33	4.41	1.41
29.75	30.94	954.4	3.12	1.01	784.18	3.41	1.11	788.46	4.41	1.43
29.8	30.44	956.0	3.12	1.00	785.64	3.41	1.09	789.6	4.42	1.41
29.85	29.93	957.7	3.12	0.98	787.11	3.41	1.07	790.72	4.59	1.44
29.9	29.43	959.3	3.12	0.96	788.57	3.42	1.06	791.78	4.72	1.46
29.95	30.44	960.9	3.12	1.00	790.03	3.41	1.09	792.84	4.69	1.50
30	31.94	962.5	3.12	1.05	791.50	3.41	1.14	793.91	4.69	1.57
30.05	29.43	964.1	3.12	0.96	792.96	3.42	1.06	794.97	4.72	1.46
30.1	27.42	965.7	3.12	0.90	794.42	3.41	0.98	796.03	4.72	1.36
30.15	27.92	967.3	3.12	0.91	795.89	3.41	1.00	797.09	4.69	1.38
30.2	27.42	968.9	3.12	0.90	797.35	3.41	0.98	798.16	4.69	1.35
30.25	28.42	970.5	3.12	0.93	798.82	3.41	1.02	799.22	4.72	1.41
30.3	27.42	972.1	3.12	0.90	800.28	3.41	0.98	800.28	4.69	1.35
30.35	26.41	973.7	3.12	0.86	801.75	3.39	0.94	801.35	4.69	1.30
30.4	23.40	975.3	3.12	0.77	803.23	3.39	0.83	802.41	4.72	1.16
30.45	20.88	976.9	3.12	0.68	804.70	3.40	0.75	803.47	4.69	1.03
30.5	21.39	978.5	3.12	0.70	806.17	3.40	0.76	804.54	4.69	1.05
30.55	21.89	980.1	3.12	0.72	807.64	3.39	0.78	805.6	4.70	1.08
30.65	19.88	983.3	3.12	0.65	810.59	3.39	0.71	807.73	4.70	0.98
30.7	17.37	984.9	3.12	0.57	812.06	3.39	0.62	808.79	4.72	0.86
30.75	15.36	986.5	3.12	0.50	813.54	3.39	0.55	809.85	4.69	0.76
30.8	14.35	988.1	3.12	0.47	815.01	3.40	0.51	810.92	4.69	0.71
30.85	14.35	989.7	3.12	0.47	816.48	3.40	0.51	811.98	3.82	0.58
30.9	15.36	991.3	3.12	0.50	817.95	3.39	0.55	813.54	3.09	0.50
30.95	16.36	992.9	3.12	0.54	819.43	3.39	0.58	815.22	2.97	0.51
31	16.86	994.5	3.12	0.55	820.90	3.40	0.60	816.91	2.98	0.53
31.05	16.36	996.2	3.12	0.54	822.37	3.40	0.58	818.58	2.98	0.51
31.1	14.35	997.8	3.12	0.47	823.84	3.39	0.51	820.27	2.97	0.45
31.15	14.85	999.4	3.12	0.49	825.32	3.39	0.53	821.95	2.98	0.46
31.2	18.87	1001.0	3.12	0.62	826.79	3.40	0.67	823.63	2.98	0.59
31.25	23.40	1002.6	3.12	0.77	828.26	3.39	0.83	825.31	2.98	0.73
31.3	19.88	1004.2	3.12	0.65	829.74	3.39	0.71	826.99	2.98	0.62
31.35	16.86	1005.8	3.12	0.55	831.21	3.40	0.60	828.67	2.98	0.53
31.4	16.86	1007.4	3.12	0.55	832.68	3.40	0.60	830.35	2.98	0.53
31.45	18.37	1009.0	3.12	0.60	834.15	3.39	0.65	832.03	2.98	0.57
31.5	14.85	1010.6	3.12	0.49	835.63	3.39	0.53	833.71	2.98	0.46
31.55	13.35	1012.2	3.12	0.44	837.10	3.40	0.48	835.39	2.98	0.42
31.6	14.35	1013.8	3.12	0.47	838.57	3.39	0.51	837.07	2.98	0.45
31.65	15.86	1015.4	3.12	0.52	840.05	3.39	0.56	838.75	2.98	0.50
31.7	18.37	1017.0	3.12	0.60	841.52	3.40	0.66	840.43	2.98	0.57
31.75	20.88	1018.6	3.12	0.68	842.99	3.40	0.75	842.11	2.98	0.65
31.8	18.87	1020.2	3.12	0.62	844.46	3.39	0.67	843.79	2.98	0.59
31.85	18.87	1021.8	3.12	0.62	845.94	3.39	0.67	845.47	2.98	0.59
31.9	17.37	1023.4	3.12	0.57	847.41	3.40	0.62	847.15	2.98	0.54
31.95	16.36	1025.0	3.12	0.54	848.88	3.39	0.58	848.83	2.98	0.51
32	15.86	1026.6	3.12	0.52	850.36	3.39	0.56	850.51	2.88	0.48
32.05	15.36	1028.2	3.12	0.50	851.83	3.40	0.55	852.3	2.04	0.33
32.15	23.90	1031.4	3.12	0.78	854.77	3.39	0.85	857.88	1.79	0.45
32.2	28.42	1033.0	3.12	0.93	856.25	3.39	1.01	860.67	1.79	0.53
32.25	30.94	1034.6	3.12	1.01	857.72	3.40	1.10	863.46	1.79	0.58
32.3	31.94	1036.3	3.12	1.05	859.19	3.40	1.14	866.25	1.79	0.60
32.35	33.45	1037.9	3.12	1.09	860.66	3.39	1.19	869.04	1.79	0.63
32.4	35.46	1039.5	3.12	1.16	862.14	3.39	1.26	871.83	2.31	0.86
32.45	35.46	1041.1	3.12	1.16	863.61	3.40	1.27	873.36	3.83	1.43
32.5	35.46	1042.7	3.12	1.16	865.08	3.39	1.26	874.44	4.63	1.72
32.55	31.44	1044.3	3.12	1.03	866.56	3.39	1.12	875.52	4.61	1.52
32.6	29.93	1045.9	3.12	0.98	868.03	3.40	1.07	876.61	4.61	1.45
32.65	31.94	1047.5	3.12	1.05	869.50	3.40	1.14	877.69	4.63	1.55
32.7	33.45	1049.1	3.12	1.09	870.97	3.39	1.19	878.77	4.61	1.62
32.75	33.45	1050.7	3.12	1.09	872.45	3.39	1.19	879.86	4.61	1.62
32.8	32.45	1052.3	3.12	1.06	873.92	3.40	1.16	880.94	4.63	1.58
32.85	31.94	1053.9	3.12	1.05	875.39	3.39	1.14	882.02	4.63	1.55
32.9	29.93	1055.5	3.12	0.98	876.87	3.39	1.07	883.1	4.61	1.45
32.95	29.43	1057.1	3.12	0.96	878.34	3.40	1.05	884.19	4.61	1.42
33	29.93	1058.7	3.12	0.98	879.81	3.40	1.07	885.27	4.63	1.45
33.05	28.42	1060.3	3.12	0.93	881.28	3.39	1.01	886.35	4.61	1.38
33.1	31.44	1061.9	3.12	1.03	882.76	3.39	1.12	887.44	4.61	1.52
33.15	35.46	1063.5	3.12	1.16	884.23	3.40	1.27	888.52	4.63	1.72
33.2	38.98	1065.1	3.12	1.28	885.70	3.40	1.39	889.6	4.61	1.89
33.25	38.98	1066.7	3.12	1.28	887.17	3.39	1.39	890.69	4.61	1.89
33.3	37.98	1068.3	3.12	1.24	888.65	3.39	1.35	891.77	4.63	1.85
33.35	37.47	1069.9	3.12	1.23	890.12	3.40	1.34	892.85	4.63	1.82
33.4	37.47	1071.5	3.12	1.23	891.59	3.39	1.33	893.93	4.61	1.81
33.45	37.47	1073.1	3.12	1.23	893.07	3.39	1.33	895.02	4.61	1.81
33.5	38.98	1074.8	3.12	1.28	894.54	3.40	1.39	896.1	4.63	1.89
33.55	39.48	1076.4	3.12	1.29	896.01	3.39	1.41	897.18	4.62	1.91
33.65	30.44	1079.6	3.12	1.00	898.96	3.39	1.08	899.35	4.62	1.48
33.7	29.43	1081.2	3.12	0.96	900.43	3.91	1.21	900.43	4.61	1.42
33.75	26.41	1082.8	3.12	0.86	901.52	4.57	1.27	901.52	4.61	1.28
33.8	22.90	1084.4	3.12	0.75	902.62	4.57	1.10	902.6	4.63	1.11
33.85	18.87	1086.0	3.12	0.62	903.71	4.57	0.90	903.68	4.63	0.92
33.9	16.36	1087.6	3.12	0.54	904.81	4.57	0.78	904.76	4.61	0.79
33.95	16.86	1089.2	3.12	0.55	905.90	4.59	0.81	905.85	4.61	0.82
34	19.88	1090.8	3.12	0.65	906.99	4.57	0.95	906.93	4.63	0.97
34.05	22.39	1092.4	3.12	0.73	908.09	4.57	1.07	908.01	4.61	1.08
34.1	20.88	1094.0	3.12	0.68	909.18	4.57	1.00	909.1	4.61	1.01
34.15	19.88	1095.6	3.12	0.65	910.28	4.57	0.95	910.18	4.63	0.97
34.2	21.39	1097.2	3.12	0.70	911.37	4.59	1.03	911.26	4.61	1.03
34.25	23.90	1098.8	3.12	0.78	912.46	4.57	1.15	912.35	4.61	1.16
34.3	28.42	1100.4	3.12	0.93	913.56	4.57	1.36	913.43	4.63	1.38
34.35	36.97	1102.0	3.12	1.21	914.65	4.57	1.77	914.51	4.63	1.80
34.4	39.99	1103.6	3.12	1.31	915.75	4.57	1.92	915.59	4.61	1.94
34.45	40.99	1105.2	3.12	1.34	916.84	4.57	1.97	916.68	4.61	1.98
34.5	42.50	1106.8	3.12	1.39	917.94	4.57	2.04	917.76	4.63	2.07
34.55	37.98	1108.4	3.12	1.24	919.03	4.59	1.83	918.84	4.61	1.84
34.6	34.46	1110.0	3.12	1.13	920.12	4.57	1.65	919.93	4.61	1.67
34.65	34.46	1111.6	3.12	1.13	921.22	4.57	1.65	921.01	4.63	1.68
34.7	32.45	1113.2	3.12	1.06	922.31	4.57	1.56	922.09	4.63	1.58
34.75	35.96	1114.9	3.12	1.18	923.41	4.57	1.72	923.17	4.61	1.74
34.8	35.96	1116.5	3.12	1.18	924.50	4.59	1.73	924.26	4.61	1.74
34.85	33.95	1118.1	3.12	1.11	925.59	4.57	1.63	925.34	4.63	1.65
34.9	35.46	1119.7	3.12	1.16	926.69	4.57	1.70	926.42	4.61	1.72
34.95	34.46	1121.3	3.12	1.13	927.78	4.57	1.65	927.51	4.61	1.67
35	30.94	1122.9	3.12	1.01	928.88	4.57	1.48	928.59	4.63	1.50
35.05	29.93	1124.5	3.12	0.98	929.97	4.59	1.44	929.67	4.61	1.45
35.1	32.45	1126.1	3.12	1.06	931.06	4.57	1.56	930.76	4.61	1.57
35.15	32.95	1127.7	3.12	1.08	932.16	4.57	1.58	931.84	4.63	1.60
35.2	30.94	1129.3	3.12	1.01	933.25	4.57	1.48	932.92	4.63	1.50
35.25	29.93	1130.9	3.12	0.98	934.35	4.57	1.43	934	4.61	1.45
35.3	31.44	1132.5	3.12	1.03	935.44	4.59	1.51	935.09	4.61	1.52
35.35	31.94	1134.1	3.12	1.05	936.53	4.57	1.53	936.17	4.63	1.55
35.4	27.92	1135.7	3.12	0.91	937.63	4.57	1.34	937.25	4.61	1.35
35.45	25.41	1137.3	3.12	0.83	938.72	4.57	1.22	938.34	4.61	1.23
35.5	28.93	1138.9	3.12	0.95	939.82	4.57	1.39	939.42	4.63	1.41
35.55	27.42	1140.5	3.12	0.90	940.91	4.59	1.32	940.5	4.61	1.33
35.6	26.41	1142.1	3.12	0.86	942.00	4.57	1.27	941.59	4.61	1.28
35.65	28.93	1143.7	3.12	0.95	943.10	4.57	1.39	942.67	4.63	1.41
35.7	33.45	1145.3	3.12	1.09	944.19	4.57	1.60	943.75	4.63	1.63
35.75	34.96	1146.9	3.12	1.14	945.29	4.57	1.68	944.83	4.61	1.69
35.8	30.44	1148.5	3.12	1.00	946.38	4.59	1.47	945.92	4.61	1.47
35.85	28.42	1150.1	3.12	0.93	947.47	4.57	1.36	947	4.62	1.38
35.95	20.88	1153.4	3.12	0.68	949.66	4.56	1.00	949.17	4.62	1.01
36	17.87	1155.0	3.12	0.58	950.76	4.57	0.86	950.25	4.63	0.87
36.05	14.35	1156.6	3.12	0.47	951.85	4.57	0.69	951.33	4.61	0.69
36.1	12.34	1158.2	3.12	0.40	952.95	4.57	0.59	952.42	4.50	0.58
36.15	14.35	1159.8	3.12	0.47	954.04	4.59	0.69	953.55	4.41	0.66
36.2	21.89	1161.4	3.12	0.72	955.13	4.57	1.05	954.69	4.41	1.01
36.25	30.94	1163.0	3.12	1.01	956.23	4.57	1.48	955.82	4.42	1.44
36.3	33.45	1164.6	3.12	1.09	957.32	4.57	1.60	956.95	4.42	1.55
36.35	31.94	1166.2	3.12	1.05	958.42	4.57	1.53	958.08	4.42	1.48
36.4	32.95	1167.8	3.12	1.08	959.51	4.59	1.59	959.21	4.42	1.53
36.45	33.95	1169.4	3.12	1.11	960.60	4.57	1.63	960.34	4.42	1.58
36.5	33.45	1171.0	3.12	1.09	961.70	4.57	1.60	961.47	4.42	1.55
36.55	30.44	1172.6	3.12	1.00	962.79	4.57	1.46	962.6	4.42	1.41
36.6	27.92	1174.2	3.12	0.91	963.89	4.57	1.34	963.73	4.41	1.29
36.65	26.41	1175.8	3.12	0.86	964.98	4.59	1.27	964.87	4.41	1.22
36.7	25.91	1177.4	3.12	0.85	966.07	4.57	1.24	966	4.42	1.20
36.75	27.42	1179.0	3.12	0.90	967.17	4.57	1.31	967.13	4.42	1.27
36.8	28.42	1180.6	3.12	0.93	968.26	4.57	1.36	968.26	4.42	1.32
36.85	25.41	1182.2	3.12	0.83	969.36	4.57	1.22	969.39	4.42	1.18
36.9	23.90	1183.8	3.12	0.78	970.45	4.59	1.15	970.52	4.42	1.11
36.95	24.91	1185.4	3.12	0.82	971.54	4.57	1.19	971.65	4.42	1.16
37	27.92	1187.0	3.12	0.91	972.64	4.57	1.34	972.78	4.42	1.30
37.05	24.91	1188.6	3.12	0.82	973.73	4.57	1.19	973.91	4.41	1.15
37.1	16.86	1190.2	3.12	0.55	974.83	4.57	0.81	975.05	4.41	0.78
37.15	13.85	1191.9	3.12	0.45	975.92	4.59	0.67	976.18	4.42	0.64
37.2	18.37	1193.5	3.12	0.60	977.01	4.57	0.88	977.31	4.42	0.85
37.25	21.39	1195.1	3.12	0.70	978.11	4.57	1.03	978.44	4.42	0.99
37.3	23.90	1196.7	3.12	0.78	979.20	4.57	1.15	979.57	4.42	1.11
37.4	25.41	1199.9	3.12	0.83	981.39	4.57	1.22	981.83	4.42	1.18
37.45	20.88	1201.5	3.12	0.68	982.48	4.57	1.00	982.96	4.41	0.97
37.5	19.38	1203.1	3.12	0.63	983.58	4.57	0.93	984.1	4.41	0.90
37.55	23.40	1204.7	3.12	0.77	984.67	4.57	1.12	985.23	4.42	1.09
37.6	23.40	1206.3	3.12	0.77	985.77	4.57	1.12	986.36	4.42	1.09
37.65	24.91	1207.9	3.12	0.82	986.86	4.57	1.19	987.49	4.42	1.16
37.7	24.40	1209.5	3.12	0.80	987.96	4.57	1.17	988.62	4.42	1.13
37.75	21.39	1211.1	3.12	0.70	989.05	4.59	1.03	989.75	4.42	0.99
37.8	20.38	1212.7	3.12	0.67	990.14	4.57	0.98	990.88	4.42	0.95
37.85	19.88	1214.3	3.12	0.65	991.24	4.57	0.95	992.01	4.42	0.92
37.9	16.36	1215.9	3.12	0.54	992.33	4.57	0.78	993.14	4.42	0.76
37.95	12.84	1217.5	3.12	0.42	993.43	4.57	0.62	994.27	4.41	0.59
38	10.83	1219.1	3.12	0.35	994.52	4.59	0.52	995.41	4.76	0.54
38.05	9.83	1220.7	3.12	0.32	995.61	4.57	0.47	996.37	5.38	0.55
38.1	11.33	1222.3	3.12	0.37	996.71	4.57	0.54	997.27	5.56	0.66
38.15	12.84	1223.9	3.12	0.42	997.80	4.57	0.62	998.17	5.52	0.74
38.2	17.37	1225.5	3.12	0.57	998.90	4.57	0.83	999.08	5.49	1.00
38.25	24.91	1227.1	3.12	0.82	999.99	3.75	0.98	999.99	5.49	1.44
38.3	27.42	1228.7	3.12	0.90	1001.57	3.15	0.91	1000.9	5.52	1.59
38.35	28.93	1230.3	3.12	0.95	1003.16	3.15	0.96	1001.8	5.56	1.69
38.4	28.93	1232.0	3.12	0.95	1004.74	3.16	0.96	1002.7	5.56	1.69
38.45	26.92	1233.6	3.12	0.88	1006.32	3.16	0.89	1003.6	5.56	1.57
38.5	28.93	1235.2	3.12	0.95	1007.90	3.15	0.96	1004.5	5.56	1.69
38.55	25.91	1236.8	3.12	0.85	1009.49	3.15	0.86	1005.4	5.56	1.51
38.6	24.40	1238.4	3.12	0.80	1011.07	3.16	0.81	1006.3	5.56	1.42
38.65	21.39	1240.0	3.12	0.70	1012.65	3.16	0.71	1007.2	5.56	1.25
38.7	21.39	1241.6	3.12	0.70	1014.23	3.15	0.71	1008.1	5.56	1.25
38.75	22.90	1243.2	3.12	0.75	1015.82	3.15	0.76	1009	5.56	1.34
38.8	26.41	1244.8	3.12	0.86	1017.40	3.16	0.88	1009.9	5.56	1.54
38.9	27.92	1248.0	3.12	0.91	1020.57	3.16	0.93	1011.7	5.56	1.63
38.95	27.42	1249.6	3.12	0.90	1022.15	3.16	0.91	1012.6	5.56	1.60
39	22.90	1251.2	3.12	0.75	1023.73	3.16	0.76	1013.5	5.56	1.34
39.05	22.90	1252.8	3.12	0.75	1025.31	3.15	0.76	1014.4	5.56	1.34
39.1	24.91	1254.4	3.12	0.82	1026.90	3.15	0.83	1015.3	5.56	1.45
39.15	21.39	1256.0	3.12	0.70	1028.48	3.16	0.71	1016.2	5.56	1.25
39.2	20.88	1257.6	3.12	0.68	1030.06	3.16	0.69	1017.1	5.56	1.22
39.25	22.39	1259.2	3.12	0.73	1031.64	3.15	0.74	1018	5.56	1.31
39.3	21.89	1260.8	3.12	0.72	1033.23	3.15	0.73	1018.9	5.56	1.28
39.35	20.38	1262.4	3.12	0.67	1034.81	3.16	0.68	1019.8	5.56	1.19
39.4	21.39	1264.0	3.12	0.70	1036.39	3.16	0.71	1020.7	5.56	1.25
39.45	21.89	1265.6	3.12	0.72	1037.97	3.15	0.73	1021.6	4.76	1.09
39.5	22.39	1267.2	3.12	0.73	1039.56	3.15	0.74	1022.8	3.12	0.73
39.55	21.89	1268.8	3.12	0.72	1041.14	3.16	0.73	1024.8	2.50	0.57
39.6	18.87	1270.5	3.12	0.62	1042.72	3.15	0.63	1026.8	2.56	0.51
39.65	18.37	1272.1	3.12	0.60	1044.31	3.15	0.61	1028.7	2.56	0.49
39.7	19.38	1273.7	3.12	0.63	1045.89	3.16	0.64	1030.7	2.56	0.52
39.75	22.90	1275.3	3.12	0.75	1047.47	3.16	0.76	1032.6	2.56	0.62
39.8	26.41	1276.9	3.12	0.86	1049.05	3.15	0.87	1034.6	2.56	0.71
39.85	28.93	1278.5	3.12	0.95	1050.64	3.15	0.96	1036.5	2.56	0.78
39.9	30.94	1280.1	3.12	1.01	1052.22	3.16	1.03	1038.5	2.56	0.83
39.95	30.94	1281.7	3.12	1.01	1053.80	3.16	1.03	1040.4	2.56	0.83
40	31.94	1283.3	3.12	1.05	1055.38	3.15	1.06	1042.4	2.56	0.86
40.05	34.46	1284.9	3.12	1.13	1056.97	3.15	1.14	1044.3	2.56	0.93
40.1	34.96	1286.5	3.12	1.14	1058.55	3.16	1.16	1046.3	2.56	0.94
40.15	36.97	1288.1	3.12	1.21	1060.13	3.15	1.22	1048.2	2.56	1.00
40.2	37.47	1289.7	3.12	1.23	1061.72	3.15	1.24	1050.2	2.56	1.01
40.25	40.99	1291.3	3.12	1.34	1063.30	3.16	1.36	1052.1	2.56	1.10
40.3	44.01	1292.9	3.12	1.44	1064.88	3.16	1.46	1054.1	2.54	1.17
40.4	32.95	1296.1	3.12	1.08	1068.05	3.16	1.09	1058	2.59	0.89
40.45	26.92	1297.7	3.12	0.88	1069.63	3.16	0.89	1059.9	2.56	0.72
40.5	20.38	1299.3	3.12	0.67	1071.21	3.16	0.68	1061.9	2.56	0.55
40.55	15.86	1300.9	3.12	0.52	1072.79	3.15	0.53	1063.8	2.56	0.43
40.6	14.85	1302.5	3.12	0.49	1074.38	3.15	0.49	1065.8	2.50	0.39
40.65	16.36	1304.1	3.12	0.54	1075.96	3.16	0.54	1067.8	2.44	0.42
40.7	21.39	1305.7	3.12	0.70	1077.54	3.16	0.71	1069.9	2.33	0.52
40.75	24.91	1307.3	3.12	0.82	1079.12	3.15	0.83	1072.1	2.33	0.61
40.8	24.91	1309.0	3.12	0.82	1080.71	3.15	0.83	1074.2	2.38	0.62
40.85	22.39	1310.6	3.12	0.73	1082.29	3.16	0.74	1076.3	2.38	0.56
40.9	20.38	1312.2	3.12	0.67	1083.87	3.15	0.68	1078.4	2.33	0.50
40.95	19.38	1313.8	3.12	0.63	1085.46	3.15	0.64	1080.6	2.33	0.47
