#%		No tune			Min tun Muller/MacDo	Age model Larrasoana
#%m	gterr	age	sr	flux	age	sr	flux 	age	sr	flux
5.2100	0.0660	176.3434	2.9545	0.1950	98.4860	4.1679	0.2751	98.5154	4.5404	0.2997
5.2200	0.0655	176.6819	2.9545	0.1936	98.6750	4.1675	0.2731	98.7008	4.5399	0.2975
5.2300	0.0651	177.0203	2.9545	0.1923	98.8640	4.1672	0.2712	98.8861	4.5395	0.2954
5.2400	0.0642	177.3588	2.9545	0.1895	99.0531	4.1669	0.2673	99.0715	4.5391	0.2912
5.2500	0.0625	177.6973	2.9545	0.1845	99.2421	4.1665	0.2602	99.2568	4.5386	0.2835
5.2600	0.0603	178.0357	2.9545	0.1782	99.4311	4.1662	0.2513	99.4422	4.5382	0.2737
5.2700	0.0583	178.3742	2.9545	0.1723	99.6202	4.1659	0.2429	99.6275	4.5378	0.2646
5.2800	0.0566	178.7127	2.9545	0.1673	99.8092	4.1655	0.2358	99.8129	4.5373	0.2569
5.2900	0.0554	179.0512	2.9545	0.1636	99.9982	4.1652	0.2307	99.9982	4.5369	0.2513
5.3000	0.0545	179.3896	2.9545	0.1609	100.1736	4.1648	0.2268	100.1836	4.5365	0.2471
5.3100	0.0528	179.7281	2.9545	0.1559	100.3489	4.1645	0.2198	100.3689	4.5360	0.2394
5.3200	0.0491	180.0666	2.9545	0.1450	100.5243	4.1642	0.2044	100.5543	4.5356	0.2226
5.3300	0.0434	180.4050	2.9545	0.1282	100.6996	4.1638	0.1806	100.7396	4.5351	0.1968
5.3400	0.0374	180.7435	2.9545	0.1105	100.8750	4.1635	0.1557	100.9250	4.5347	0.1695
5.3500	0.0323	181.0820	2.9545	0.0955	101.0503	4.1632	0.1345	101.1103	4.5343	0.1465
5.3600	0.0286	181.4205	2.9545	0.0845	101.2256	4.1628	0.1191	101.2957	4.5338	0.1297
5.3700	0.0272	181.7589	2.9545	0.0805	101.4010	4.1625	0.1133	101.4810	4.5334	0.1234
5.3800	0.0283	182.0974	2.9545	0.0836	101.5763	4.1621	0.1178	101.6664	4.5330	0.1283
5.3900	0.0318	182.4359	2.9545	0.0941	101.7517	4.1618	0.1325	101.8517	4.5325	0.1443
5.4000	0.0375	182.7743	2.9545	0.1109	101.9270	4.1615	0.1562	102.0201	4.5321	0.1701
5.4100	0.0445	183.1128	2.9545	0.1314	102.1024	4.1613	0.1850	102.1207	4.5319	0.2015
5.4200	0.0525	183.4513	2.9545	0.1550	102.2777	4.1611	0.2183	102.2213	4.5317	0.2377
5.4300	0.0603	183.7898	2.9545	0.1782	102.4530	4.1610	0.2509	102.3219	4.5314	0.2733
5.4400	0.0675	184.1282	2.9545	0.1995	102.6284	4.1608	0.2810	102.4225	4.5312	0.3060
5.4500	0.0726	184.4667	2.9545	0.2145	102.8037	4.1606	0.3021	102.5231	4.5310	0.3290
5.4600	0.0754	184.8052	2.9545	0.2227	102.9791	4.1604	0.3136	102.6237	4.5307	0.3415
5.4700	0.0766	185.1436	2.9545	0.2264	103.1544	4.1602	0.3187	102.7243	4.5305	0.3471
5.4800	0.0772	185.4821	2.9545	0.2282	103.3298	4.1600	0.3213	102.8249	4.5303	0.3499
5.4900	0.0780	185.8206	2.9545	0.2304	103.5051	4.1599	0.3245	102.9255	4.5300	0.3533
5.5000	0.0789	186.1590	2.9545	0.2332	103.6805	4.1597	0.3283	103.0261	4.5298	0.3575
5.5100	0.0797	186.4975	2.9545	0.2354	103.8558	4.1595	0.3315	103.1267	4.5295	0.3610
5.5200	0.0803	186.8360	2.9545	0.2373	104.0311	4.1593	0.3340	103.2273	4.5293	0.3637
5.5300	0.0803	187.1745	2.9545	0.2373	104.2065	4.1591	0.3340	103.3278	4.5291	0.3637
5.5400	0.0797	187.5129	2.9545	0.2354	104.3818	4.1589	0.3314	103.4284	4.5288	0.3609
5.5500	0.0789	187.8514	2.9545	0.2332	104.5572	4.1588	0.3282	103.5290	4.5286	0.3574
5.5600	0.0785	188.1899	2.9545	0.2318	104.7325	4.1586	0.3263	103.6296	4.5284	0.3553
5.5700	0.0783	188.5283	2.9545	0.2314	104.9079	4.1584	0.3256	103.7302	4.5281	0.3546
5.5800	0.0785	188.8668	2.9545	0.2318	105.0832	4.1582	0.3263	103.8308	4.5279	0.3553
5.5900	0.0785	189.2053	2.9545	0.2318	105.2585	4.1580	0.3262	103.9314	4.5277	0.3552
5.6000	0.0788	189.5438	2.9545	0.2327	105.4339	4.1578	0.3275	104.0320	4.5274	0.3566
5.6100	0.0791	189.8822	2.9545	0.2336	105.6092	4.1577	0.3288	104.1326	4.5272	0.3580
5.6200	0.0797	190.2207	2.9545	0.2354	105.7846	4.1575	0.3313	104.2332	4.5270	0.3608
5.6300	0.0805	190.5592	2.9545	0.2377	105.9599	4.1573	0.3345	104.3338	4.5267	0.3642
5.6400	0.0812	190.8976	2.9545	0.2400	106.1353	4.1571	0.3377	104.4344	4.5265	0.3677
5.6500	0.0820	191.2361	2.9545	0.2423	106.3106	4.1569	0.3409	104.5350	4.5263	0.3712
5.6600	0.0820	191.5746	2.9545	0.2423	106.4859	4.1568	0.3409	104.6356	4.5260	0.3711
5.6700	0.0809	191.9131	2.9545	0.2391	106.6613	4.1566	0.3364	104.7362	4.5258	0.3662
5.6800	0.0780	192.2515	2.9545	0.2304	106.8366	4.1564	0.3242	104.8368	4.5255	0.3530
5.6886	0.0732	192.5416	2.9545	0.2164	106.9944	4.1562	0.3044	104.9230	4.5253	0.3314
5.6971	0.0666	192.8318	2.9545	0.1968	107.1347	4.1561	0.2769	105.0092	4.5251	0.3014
5.7057	0.0598	193.1219	2.9545	0.1768	107.2925	4.1559	0.2487	105.0954	4.5249	0.2708
5.7143	0.0551	193.4120	2.9545	0.1627	107.4328	4.1558	0.2289	105.1817	4.5247	0.2492
5.7229	0.0531	193.7021	2.9545	0.1568	107.5906	4.1556	0.2206	105.2679	4.5245	0.2401
5.7314	0.0537	193.9922	2.9545	0.1586	107.7309	4.1554	0.2231	105.3541	4.5243	0.2429
5.7400	0.0571	194.2824	2.9545	0.1686	107.8887	4.1553	0.2372	105.4403	4.5241	0.2582
5.7486	0.0625	194.5725	2.9545	0.1845	108.0465	4.1551	0.2595	105.5266	4.5239	0.2826
