#%		No tune			Min tun Muller/MacDo	Age model Larrasoana
#%m	gterr	age	sr	flux	age	sr	flux 	age	sr	flux
22.0300	0.0518	745.6516	2.9545	0.1532	558.1180	3.4826	0.1806	560.4038	3.6708	0.1903
22.0400	0.0515	745.9901	2.9545	0.1523	558.5641	3.4821	0.1795	560.8462	3.6701	0.1892
22.0500	0.0522	746.3285	2.9545	0.1541	559.0102	3.4816	0.1816	561.2885	3.6695	0.1914
22.0600	0.0534	746.6670	2.9545	0.1577	559.4563	3.4811	0.1858	561.7308	3.6688	0.1959
22.0700	0.0546	747.0055	2.9545	0.1614	559.9024	3.4805	0.1901	562.1731	3.6682	0.2003
22.0800	0.0551	747.3440	2.9545	0.1627	560.3485	3.4800	0.1917	562.6154	3.6675	0.2020
22.0900	0.0545	747.6824	2.9545	0.1609	560.7946	3.4795	0.1895	563.0577	3.6669	0.1997
22.1000	0.0529	748.0209	2.9545	0.1564	561.2407	3.4790	0.1841	563.5000	3.6662	0.1940
22.1100	0.0505	748.3594	2.9545	0.1491	561.6868	3.4784	0.1755	563.9423	3.6656	0.1850
22.1200	0.0475	748.6978	2.9545	0.1405	562.1328	3.4779	0.1653	564.3846	3.6649	0.1742
22.1300	0.0442	749.0363	2.9545	0.1305	562.5789	3.4774	0.1535	564.8269	3.6643	0.1618
22.1400	0.0406	749.3748	2.9545	0.1200	563.0250	3.4769	0.1412	565.2692	3.6636	0.1488
22.1500	0.0372	749.7133	2.9545	0.1100	563.4711	3.4764	0.1294	565.7115	3.6630	0.1364
22.1600	0.0340	750.0517	2.9545	0.1005	563.9172	3.4758	0.1182	566.1538	3.6623	0.1245
22.1700	0.0314	750.3902	2.9545	0.0927	564.3633	3.4753	0.1091	566.5962	3.6617	0.1149
22.1800	0.0292	750.7287	2.9545	0.0864	564.8094	3.4748	0.1016	567.0385	3.6610	0.1070
22.1900	0.0278	751.0671	2.9545	0.0823	565.2555	3.4743	0.0967	567.4808	3.6604	0.1019
22.2000	0.0272	751.4056	2.9545	0.0805	565.7016	3.4738	0.0946	567.9231	3.6597	0.0997
22.2100	0.0275	751.7441	2.9545	0.0814	566.1477	3.4732	0.0956	568.3654	3.6591	0.1008
22.2200	0.0294	752.0826	2.9545	0.0868	566.5938	3.4727	0.1020	568.8077	3.6584	0.1075
22.2300	0.0329	752.4210	2.9545	0.0973	567.0399	3.4722	0.1143	569.2500	3.6578	0.1204
22.2400	0.0385	752.7595	2.9545	0.1136	567.4860	3.4717	0.1335	569.6923	3.6571	0.1407
22.2500	0.0455	753.0980	2.9545	0.1345	567.9321	3.4712	0.1581	570.1346	3.6565	0.1665
22.2600	0.0529	753.4364	2.9545	0.1564	568.3782	3.4706	0.1837	570.5769	3.6559	0.1935
22.2700	0.0603	753.7749	2.9545	0.1782	568.8243	3.4701	0.2093	571.0192	3.6552	0.2204
22.2800	0.0662	754.1134	2.9545	0.1954	569.2704	3.4696	0.2295	571.4615	3.6546	0.2418
22.2900	0.0709	754.4519	2.9545	0.2095	569.7164	3.4691	0.2460	571.9038	3.6539	0.2591
22.3000	0.0743	754.7903	2.9545	0.2195	570.1625	3.4686	0.2577	572.3462	3.6533	0.2715
22.3100	0.0769	755.1288	2.9545	0.2273	570.6086	3.4680	0.2668	572.7885	3.6526	0.2810
22.3200	0.0789	755.4673	2.9545	0.2332	571.0547	3.4675	0.2737	573.2308	3.6520	0.2882
22.3300	0.0805	755.8057	2.9545	0.2377	571.5008	3.4670	0.2790	573.6731	3.6513	0.2938
22.3400	0.0817	756.1442	2.9545	0.2414	571.9469	3.4665	0.2832	574.1154	3.6507	0.2982
22.3500	0.0825	756.4827	2.9545	0.2436	572.3930	3.4660	0.2858	574.5577	3.6500	0.3010
22.3600	0.0829	756.8211	2.9545	0.2450	572.8391	3.4655	0.2874	575.0000	3.6494	0.3026
22.3700	0.0835	757.1596	2.9545	0.2468	573.2852	3.4650	0.2895	575.4144	3.6488	0.3048
22.3800	0.0843	757.4981	2.9545	0.2491	573.7313	3.4645	0.2921	575.8288	3.6482	0.3076
22.3900	0.0849	757.8366	2.9545	0.2509	574.1774	3.4640	0.2942	576.2432	3.6476	0.3098
22.4000	0.0845	758.1750	2.9545	0.2495	574.6235	3.4635	0.2925	576.6577	3.6470	0.3080
22.4100	0.0822	758.5135	2.9545	0.2427	575.0696	3.4630	0.2845	577.0721	3.6464	0.2996
22.4200	0.0772	758.8520	2.9545	0.2282	575.5157	3.4626	0.2674	577.4865	3.6458	0.2816
22.4300	0.0702	759.1904	2.9545	0.2073	575.9618	3.4621	0.2429	577.9009	3.6452	0.2557
22.4400	0.0620	759.5289	2.9545	0.1832	576.4079	3.4616	0.2146	578.3153	3.6446	0.2260
22.4500	0.0543	759.8674	2.9545	0.1605	576.8540	3.4611	0.1880	578.7297	3.6440	0.1979
22.4600	0.0482	760.2059	2.9545	0.1423	577.3001	3.4606	0.1666	579.1441	3.6434	0.1754
22.4700	0.0440	760.5443	2.9545	0.1300	577.7461	3.4602	0.1522	579.5586	3.6428	0.1603
22.4800	0.0414	760.8828	2.9545	0.1223	578.1922	3.4597	0.1432	579.9730	3.6422	0.1507
22.4900	0.0398	761.2213	2.9545	0.1177	578.6383	3.4592	0.1378	580.3874	3.6416	0.1451
22.5000	0.0389	761.5597	2.9545	0.1150	579.0844	3.4587	0.1346	580.8018	3.6410	0.1417
22.5100	0.0382	761.8982	2.9545	0.1127	579.5305	3.4582	0.1319	581.2162	3.6404	0.1389
22.5200	0.0374	762.2367	2.9545	0.1105	579.9766	3.4577	0.1293	581.6306	3.6398	0.1361
22.6000	0.0354	764.9445	2.9545	0.1045	583.5454	3.4539	0.1222	584.9459	3.6350	0.1286
22.6100	0.0378	765.2829	2.9545	0.1118	583.9915	3.4534	0.1307	585.3604	3.6344	0.1375
22.6200	0.0400	765.6214	2.9545	0.1182	584.4376	3.4529	0.1381	585.7748	3.6338	0.1454
22.6300	0.0420	765.9599	2.9545	0.1241	584.8837	3.4525	0.1450	586.1892	3.6332	0.1526
22.6400	0.0440	766.2983	2.9545	0.1300	585.3297	3.4520	0.1519	586.6036	3.6326	0.1598
22.6500	0.0458	766.6368	2.9545	0.1355	585.7758	3.4515	0.1582	587.0180	3.6320	0.1665
22.6600	0.0478	766.9753	2.9545	0.1414	586.2219	3.4510	0.1651	587.4324	3.6314	0.1738
22.6700	0.0495	767.3138	2.9545	0.1464	586.6680	3.4506	0.1709	587.8468	3.6308	0.1799
22.6800	0.0508	767.6522	2.9545	0.1500	587.1141	3.4501	0.1752	588.2613	3.6302	0.1843
22.6900	0.0514	767.9907	2.9545	0.1518	587.5602	3.4496	0.1773	588.6757	3.6297	0.1865
22.7000	0.0509	768.3292	2.9545	0.1505	588.0063	3.4491	0.1756	589.0901	3.6291	0.1848
22.7100	0.0491	768.6676	2.9545	0.1450	588.4524	3.4486	0.1692	589.5045	3.6285	0.1781
22.7200	0.0463	769.0061	2.9545	0.1368	588.8985	3.4482	0.1597	589.9189	3.6279	0.1680
22.7300	0.0429	769.3446	2.9545	0.1268	589.3446	3.4477	0.1480	590.3333	3.6273	0.1557
22.7400	0.0395	769.6830	2.9545	0.1168	589.7907	3.4472	0.1363	590.7477	3.6267	0.1434
22.7500	0.0366	770.0215	2.9545	0.1082	590.2368	3.4467	0.1262	591.1622	3.6261	0.1328
22.7600	0.0343	770.3600	2.9545	0.1014	590.6829	3.4463	0.1182	591.5766	3.6255	0.1244
22.7700	0.0329	770.6985	2.9545	0.0973	591.1290	3.4458	0.1134	591.9910	3.6249	0.1193
22.7800	0.0326	771.0369	2.9545	0.0964	591.5751	3.4453	0.1124	592.4054	3.6243	0.1182
22.7900	0.0331	771.3754	2.9545	0.0977	592.0212	3.4448	0.1139	592.8198	3.6237	0.1199
22.8000	0.0342	771.7139	2.9545	0.1009	592.4673	3.4444	0.1176	593.2342	3.6231	0.1237
22.8100	0.0354	772.0523	2.9545	0.1045	592.9133	3.4439	0.1219	593.6486	3.6225	0.1282
22.8200	0.0366	772.3908	2.9545	0.1082	593.3594	3.4434	0.1261	594.0631	3.6219	0.1326
22.8300	0.0369	772.7293	2.9545	0.1091	593.8055	3.4429	0.1271	594.4775	3.6214	0.1337
22.8400	0.0363	773.0678	2.9545	0.1073	594.2516	3.4425	0.1250	594.8919	3.6208	0.1315
22.8500	0.0342	773.4062	2.9545	0.1009	594.6977	3.4420	0.1176	595.3063	3.6202	0.1236
22.8600	0.0305	773.7447	2.9545	0.0900	595.1438	3.4415	0.1048	595.7207	3.6196	0.1103
22.8700	0.0257	774.0832	2.9545	0.0759	595.5899	3.4410	0.0884	596.1351	3.6190	0.0930
22.8800	0.0208	774.4216	2.9545	0.0614	596.0360	3.4406	0.0715	596.5496	3.6184	0.0752
22.8900	0.0162	774.7601	2.9545	0.0477	596.4821	3.4401	0.0556	596.9640	3.6178	0.0584
22.9000	0.0126	775.0986	2.9545	0.0372	596.9282	3.4396	0.0433	597.3784	3.6172	0.0455
22.9100	0.0104	775.4371	2.9545	0.0308	597.3743	3.4391	0.0359	597.7928	3.6166	0.0377
22.9200	0.0096	775.7755	2.9545	0.0283	597.8204	3.4387	0.0330	598.1864	3.6161	0.0347
22.9300	0.0099	776.1140	2.9545	0.0291	598.2665	3.4383	0.0339	598.5593	3.6155	0.0357
22.9400	0.0109	776.4525	2.9545	0.0323	598.7126	3.4378	0.0376	598.9322	3.6150	0.0395
22.9500	0.0126	776.7909	2.9545	0.0372	599.1587	3.4374	0.0433	599.3051	3.6145	0.0455
22.9600	0.0147	777.1294	2.9545	0.0435	599.6048	3.4370	0.0507	599.6780	3.6140	0.0533
22.9700	0.0172	777.4679	2.9545	0.0509	600.0509	3.4366	0.0592	600.0508	3.6134	0.0623
22.9800	0.0198	777.8064	2.9545	0.0586	600.3606	3.4361	0.0682	600.4237	3.6129	0.0717
22.9900	0.0222	778.1448	2.9545	0.0655	600.6703	3.4357	0.0761	600.7966	3.6124	0.0800
23.0000	0.0242	778.4833	2.9545	0.0714	600.9801	3.4353	0.0830	601.1695	3.6118	0.0872
23.0100	0.0262	778.8218	2.9545	0.0773	601.2898	3.4349	0.0898	601.5424	3.6113	0.0944
23.0200	0.0282	779.1602	2.9545	0.0832	601.5995	3.4344	0.0967	601.9153	3.6108	0.1017
23.0300	0.0302	779.4987	2.9545	0.0891	601.9093	3.4340	0.1035	602.2881	3.6103	0.1089
23.0400	0.0323	779.8372	2.9545	0.0955	602.2190	3.4336	0.1109	602.6610	3.6097	0.1166
23.0500	0.0345	780.1756	2.9545	0.1018	602.5288	3.4332	0.1183	603.0339	3.6092	0.1244
23.0600	0.0362	780.5141	2.9545	0.1068	602.8385	3.4328	0.1241	603.4068	3.6087	0.1305
23.0700	0.0372	780.8526	2.9545	0.1100	603.1482	3.4323	0.1278	603.7797	3.6082	0.1343
23.0800	0.0380	781.1911	2.9545	0.1123	603.4580	3.4319	0.1304	604.1525	3.6076	0.1371
23.0900	0.0386	781.5295	2.9545	0.1141	603.7677	3.4315	0.1325	604.5254	3.6071	0.1393
23.1000	0.0395	781.8680	2.9545	0.1168	604.0774	3.4311	0.1357	604.8983	3.6066	0.1426
23.1100	0.0408	782.2065	2.9545	0.1205	604.3872	3.4306	0.1399	605.2712	3.6061	0.1470
23.1200	0.0423	782.5449	2.9545	0.1250	604.6969	3.4302	0.1451	605.6441	3.6055	0.1525
23.1300	0.0437	782.8834	2.9545	0.1291	605.0067	3.4298	0.1499	606.0169	3.6050	0.1575
23.1400	0.0446	783.2219	2.9545	0.1318	605.3164	3.4294	0.1530	606.3898	3.6045	0.1608
23.1500	0.0448	783.5604	2.9545	0.1323	605.6261	3.4289	0.1535	606.7627	3.6039	0.1613
23.1600	0.0442	783.8988	2.9545	0.1305	605.9359	3.4285	0.1514	607.1356	3.6034	0.1591
23.1700	0.0431	784.2373	2.9545	0.1273	606.2456	3.4281	0.1477	607.5085	3.6029	0.1552
23.1800	0.0418	784.5758	2.9545	0.1236	606.5553	3.4277	0.1434	607.8814	3.6024	0.1507
23.1900	0.0403	784.9142	2.9545	0.1191	606.8651	3.4273	0.1381	608.2542	3.6019	0.1452
23.2000	0.0388	785.2527	2.9545	0.1145	607.1748	3.4268	0.1329	608.6271	3.6013	0.1396
23.2100	0.0371	785.5912	2.9545	0.1095	607.4846	3.4264	0.1270	609.0000	3.6008	0.1335
23.2200	0.0354	785.9297	2.9545	0.1045	607.7943	3.4260	0.1212	609.3729	3.6003	0.1274
23.2300	0.0337	786.2681	2.9545	0.0995	608.1040	3.4256	0.1154	609.7458	3.5998	0.1213
23.2400	0.0322	786.6066	2.9545	0.0950	608.4138	3.4252	0.1101	610.1186	3.5992	0.1157
23.2500	0.0306	786.9451	2.9545	0.0905	608.7235	3.4247	0.1048	610.4915	3.5987	0.1102
23.2600	0.0294	787.2835	2.9545	0.0868	609.0333	3.4243	0.1006	610.8644	3.5982	0.1057
23.2700	0.0283	787.6220	2.9545	0.0836	609.3430	3.4239	0.0969	611.2373	3.5977	0.1018
23.2800	0.0274	787.9605	2.9545	0.0809	609.6527	3.4235	0.0938	611.6102	3.5971	0.0985
23.2900	0.0266	788.2990	2.9545	0.0786	609.9625	3.4231	0.0911	611.9831	3.5966	0.0957
23.3000	0.0258	788.6374	2.9545	0.0764	610.2722	3.4226	0.0885	612.3559	3.5961	0.0929
23.3100	0.0249	788.9759	2.9545	0.0736	610.5819	3.4222	0.0853	612.7288	3.5956	0.0896
23.3200	0.0238	789.3144	2.9545	0.0705	610.8917	3.4218	0.0816	613.1017	3.5951	0.0857
23.3300	0.0226	789.6528	2.9545	0.0668	611.2014	3.4214	0.0774	613.4746	3.5945	0.0813
23.3400	0.0215	789.9913	2.9545	0.0636	611.5112	3.4210	0.0737	613.8475	3.5940	0.0774
23.3500	0.0205	790.3298	2.9545	0.0605	611.8209	3.4205	0.0700	614.2203	3.5935	0.0735
23.3600	0.0198	790.6682	2.9545	0.0586	612.1306	3.4201	0.0679	614.5932	3.5930	0.0713
23.3700	0.0200	791.0067	2.9545	0.0591	612.4404	3.4197	0.0684	614.9661	3.5925	0.0718
23.3800	0.0212	791.3452	2.9545	0.0627	612.7501	3.4193	0.0726	615.3390	3.5919	0.0763
23.3900	0.0232	791.6837	2.9545	0.0686	613.0598	3.4189	0.0794	615.7119	3.5914	0.0834
23.4000	0.0255	792.0221	2.9545	0.0755	613.3696	3.4184	0.0873	616.0847	3.5909	0.0917
23.4100	0.0275	792.3606	2.9545	0.0814	613.6793	3.4180	0.0941	616.4576	3.5904	0.0989
23.4200	0.0286	792.6991	2.9545	0.0845	613.9891	3.4176	0.0978	616.8305	3.5899	0.1027
23.4300	0.0285	793.0375	2.9545	0.0841	614.2988	3.4172	0.0973	617.2034	3.5893	0.1022
23.4400	0.0271	793.3760	2.9545	0.0800	614.6085	3.4168	0.0925	617.5763	3.5888	0.0972
23.4500	0.0243	793.7145	2.9545	0.0718	614.9183	3.4164	0.0830	617.9492	3.5883	0.0872
23.4600	0.0206	794.0530	2.9545	0.0609	615.2280	3.4159	0.0704	618.3220	3.5878	0.0740
23.4700	0.0166	794.3914	2.9545	0.0491	615.5377	3.4155	0.0568	618.6949	3.5873	0.0596
23.4800	0.0134	794.7299	2.9545	0.0395	615.8475	3.4151	0.0457	619.0678	3.5867	0.0480
23.4900	0.0108	795.0684	2.9545	0.0319	616.1572	3.4147	0.0369	619.4407	3.5862	0.0387
23.5000	0.0091	795.4068	2.9545	0.0269	616.4670	3.4143	0.0310	619.8136	3.5857	0.0326
23.5100	0.0082	795.7453	2.9545	0.0241	616.7767	3.4139	0.0279	620.1721	3.5852	0.0293
23.5200	0.0080	796.0838	2.9545	0.0238	617.0864	3.4135	0.0275	620.5164	3.5847	0.0288
23.5300	0.0087	796.4223	2.9545	0.0256	617.3962	3.4131	0.0296	620.8607	3.5842	0.0310
23.5400	0.0098	796.7607	2.9545	0.0289	617.7059	3.4127	0.0334	621.2049	3.5838	0.0351
23.5500	0.0111	797.0992	2.9545	0.0329	618.0156	3.4123	0.0380	621.5492	3.5833	0.0399
23.5600	0.0124	797.4377	2.9545	0.0368	618.3254	3.4119	0.0425	621.8934	3.5828	0.0446
23.5700	0.0136	797.7761	2.9545	0.0400	618.6351	3.4116	0.0462	622.2377	3.5823	0.0486
23.5800	0.0145	798.1146	2.9545	0.0427	618.9449	3.4112	0.0493	622.5820	3.5819	0.0518
23.5900	0.0152	798.4531	2.9545	0.0449	619.2546	3.4108	0.0518	622.9262	3.5814	0.0544
23.6000	0.0158	798.7916	2.9545	0.0468	619.5643	3.4104	0.0540	623.2705	3.5809	0.0567
23.6100	0.0163	799.1300	2.9545	0.0482	619.8741	3.4100	0.0556	623.6148	3.5804	0.0584
23.6200	0.0169	799.4685	2.9545	0.0500	620.1838	3.4096	0.0577	623.9590	3.5800	0.0606
23.6300	0.0175	799.8070	2.9545	0.0518	620.4935	3.4093	0.0598	624.3033	3.5795	0.0628
23.6400	0.0183	800.1454	2.9545	0.0541	620.8033	3.4089	0.0624	624.6475	3.5790	0.0655
23.6500	0.0192	800.4839	2.9545	0.0568	621.1130	3.4085	0.0655	624.9918	3.5785	0.0688
23.6600	0.0202	800.8224	2.9545	0.0595	621.4228	3.4081	0.0687	625.3361	3.5781	0.0721
23.6700	0.0212	801.1609	2.9545	0.0627	621.7325	3.4077	0.0723	625.6803	3.5776	0.0760
23.6800	0.0225	801.4993	2.9545	0.0664	622.0422	3.4073	0.0765	626.0246	3.5771	0.0803
23.6900	0.0237	801.8378	2.9545	0.0700	622.3520	3.4070	0.0807	626.3689	3.5766	0.0847
23.7000	0.0252	802.1763	2.9545	0.0745	622.6617	3.4066	0.0860	626.7131	3.5762	0.0902
23.7100	0.0271	802.5147	2.9545	0.0800	622.9715	3.4062	0.0922	627.0574	3.5757	0.0968
23.7200	0.0292	802.8532	2.9545	0.0864	623.2812	3.4058	0.0996	627.4016	3.5752	0.1045
23.7300	0.0315	803.1917	2.9545	0.0932	623.5909	3.4054	0.1074	627.7459	3.5747	0.1127
23.7400	0.0342	803.5301	2.9545	0.1009	623.9007	3.4051	0.1163	628.0902	3.5743	0.1221
23.7500	0.0369	803.8686	2.9545	0.1091	624.2104	3.4047	0.1257	628.4344	3.5738	0.1320
23.7600	0.0395	804.2071	2.9545	0.1168	624.5201	3.4043	0.1346	628.7787	3.5733	0.1413
23.7700	0.0420	804.5456	2.9545	0.1241	624.8299	3.4039	0.1430	629.1230	3.5728	0.1501
23.7800	0.0443	804.8840	2.9545	0.1309	625.1396	3.4035	0.1508	629.4672	3.5724	0.1583
23.7900	0.0458	805.2225	2.9545	0.1355	625.4494	3.4031	0.1560	629.8115	3.5719	0.1638
23.8000	0.0469	805.5610	2.9545	0.1386	625.7591	3.4028	0.1597	630.1557	3.5714	0.1676
23.8100	0.0471	805.8994	2.9545	0.1391	626.0688	3.4024	0.1602	630.5000	3.5709	0.1681
23.8200	0.0471	806.2379	2.9545	0.1391	626.3786	3.4020	0.1602	630.8443	3.5705	0.1681
23.8300	0.0468	806.5764	2.9545	0.1382	626.6883	3.4016	0.1591	631.1885	3.5700	0.1670
23.8400	0.0465	806.9149	2.9545	0.1373	626.9980	3.4012	0.1580	631.5328	3.5695	0.1658
23.8500	0.0462	807.2533	2.9545	0.1364	627.3078	3.4009	0.1570	631.8770	3.5691	0.1647
23.8600	0.0458	807.5918	2.9545	0.1355	627.6175	3.4005	0.1559	632.2213	3.5686	0.1636
23.8700	0.0457	807.9303	2.9545	0.1350	627.9273	3.4001	0.1554	632.5656	3.5681	0.1630
23.8800	0.0454	808.2687	2.9545	0.1341	628.2370	3.3997	0.1543	632.9098	3.5676	0.1619
23.8900	0.0452	808.6072	2.9545	0.1336	628.5467	3.3993	0.1538	633.2541	3.5672	0.1613
23.9000	0.0452	808.9457	2.9545	0.1336	628.8565	3.3990	0.1537	633.5984	3.5667	0.1613
23.9100	0.0452	809.2842	2.9545	0.1336	629.1662	3.3986	0.1537	633.9426	3.5662	0.1613
23.9200	0.0452	809.6226	2.9545	0.1336	629.4759	3.3982	0.1537	634.2869	3.5657	0.1613
23.9300	0.0452	809.9611	2.9545	0.1336	629.7857	3.3978	0.1537	634.6311	3.5653	0.1613
23.9400	0.0452	810.2996	2.9545	0.1336	630.0954	3.3974	0.1537	634.9754	3.5648	0.1612
23.9500	0.0449	810.6380	2.9545	0.1327	630.4052	3.3971	0.1526	635.3197	3.5643	0.1601
23.9600	0.0445	810.9765	2.9545	0.1314	630.7149	3.3967	0.1510	635.6639	3.5639	0.1585
23.9700	0.0437	811.3150	2.9545	0.1291	631.0246	3.3963	0.1484	636.0082	3.5634	0.1557
23.9800	0.0428	811.6535	2.9545	0.1264	631.3344	3.3959	0.1452	636.3525	3.5629	0.1524
23.9900	0.0420	811.9919	2.9545	0.1241	631.6441	3.3955	0.1426	636.6967	3.5625	0.1496
24.0000	0.0412	812.3304	2.9545	0.1218	631.9538	3.3952	0.1400	637.0410	3.5620	0.1469
24.0100	0.0403	812.6689	2.9545	0.1191	632.2636	3.3948	0.1368	637.3852	3.5615	0.1436
24.0200	0.0391	813.0073	2.9545	0.1155	632.5733	3.3944	0.1326	637.7295	3.5610	0.1392
24.1000	0.0326	815.7151	2.9545	0.0964	635.0512	3.3914	0.1106	640.4836	3.5573	0.1160
24.1100	0.0355	816.0536	2.9545	0.1050	635.3610	3.3910	0.1205	640.8279	3.5568	0.1264
24.1200	0.0385	816.3920	2.9545	0.1136	635.6707	3.3907	0.1304	641.1154	3.5564	0.1368
24.1300	0.0420	816.7305	2.9545	0.1241	635.9804	3.3904	0.1424	641.3462	3.5561	0.1494
24.1400	0.0458	817.0690	2.9545	0.1355	636.2902	3.3902	0.1554	641.5769	3.5558	0.1630
24.1500	0.0495	817.4075	2.9545	0.1464	636.5999	3.3899	0.1679	641.8077	3.5555	0.1761
24.1600	0.0537	817.7459	2.9545	0.1586	636.9096	3.3897	0.1820	642.0385	3.5552	0.1909
24.1700	0.0577	818.0844	2.9545	0.1704	637.2194	3.3894	0.1955	642.2692	3.5549	0.2051
24.1800	0.0614	818.4229	2.9545	0.1814	637.5291	3.3892	0.2080	642.5000	3.5546	0.2182
24.1900	0.0642	818.7613	2.9545	0.1895	637.8389	3.3889	0.2174	642.7308	3.5542	0.2280
24.2000	0.0657	819.0998	2.9545	0.1941	638.1486	3.3887	0.2226	642.9615	3.5539	0.2335
24.2100	0.0662	819.4383	2.9545	0.1954	638.4583	3.3884	0.2242	643.1923	3.5536	0.2351
24.2200	0.0662	819.7768	2.9545	0.1954	638.7681	3.3882	0.2241	643.4231	3.5533	0.2351
24.2300	0.0663	820.1152	2.9545	0.1959	639.0778	3.3879	0.2246	643.6538	3.5530	0.2356
24.2400	0.0663	820.4537	2.9545	0.1959	639.3876	3.3877	0.2246	643.8846	3.5527	0.2356
24.2500	0.0662	820.7922	2.9545	0.1954	639.6973	3.3874	0.2241	644.1154	3.5524	0.2350
24.2600	0.0652	821.1306	2.9545	0.1927	640.0070	3.3872	0.2209	644.3462	3.5521	0.2317
24.2700	0.0634	821.4691	2.9545	0.1873	640.3168	3.3869	0.2147	644.5769	3.5517	0.2251
24.2800	0.0611	821.8076	2.9545	0.1804	640.6265	3.3867	0.2068	644.8077	3.5514	0.2169
24.2900	0.0586	822.1461	2.9545	0.1732	640.9362	3.3864	0.1985	645.0385	3.5511	0.2082
24.3000	0.0558	822.4845	2.9545	0.1650	641.2460	3.3862	0.1891	645.2692	3.5508	0.1983
24.3100	0.0528	822.8230	2.9545	0.1559	641.5557	3.3859	0.1787	645.5000	3.5505	0.1874
24.3200	0.0495	823.1615	2.9545	0.1464	641.8655	3.3857	0.1677	645.7308	3.5502	0.1759
24.3300	0.0469	823.4999	2.9545	0.1386	642.1752	3.3854	0.1589	645.9615	3.5499	0.1666
24.3400	0.0448	823.8384	2.9545	0.1323	642.4849	3.3852	0.1516	646.1923	3.5496	0.1589
24.3500	0.0429	824.1769	2.9545	0.1268	642.7947	3.3849	0.1453	646.4231	3.5492	0.1523
24.3600	0.0414	824.5153	2.9545	0.1223	643.1044	3.3847	0.1401	646.6538	3.5489	0.1469
24.3700	0.0402	824.8538	2.9545	0.1186	643.4141	3.3844	0.1359	646.8846	3.5486	0.1425
24.3800	0.0397	825.1923	2.9545	0.1173	643.7239	3.3842	0.1343	647.1154	3.5483	0.1408
24.3900	0.0398	825.5308	2.9545	0.1177	644.0336	3.3839	0.1348	647.3462	3.5480	0.1414
24.4000	0.0406	825.8692	2.9545	0.1200	644.3434	3.3837	0.1374	647.5769	3.5477	0.1441
24.4100	0.0417	826.2077	2.9545	0.1232	644.6531	3.3834	0.1411	647.8077	3.5474	0.1479
24.4200	0.0431	826.5462	2.9545	0.1273	644.9628	3.3831	0.1457	648.0385	3.5471	0.1528
24.4300	0.0443	826.8846	2.9545	0.1309	645.2726	3.3829	0.1499	648.2692	3.5468	0.1571
24.4400	0.0455	827.2231	2.9545	0.1345	645.5823	3.3826	0.1540	648.5000	3.5464	0.1615
24.4500	0.0471	827.5616	2.9545	0.1391	645.8920	3.3824	0.1592	648.7308	3.5461	0.1669
24.4600	0.0489	827.9001	2.9545	0.1445	646.2018	3.3821	0.1655	648.9615	3.5458	0.1735
24.4700	0.0512	828.2385	2.9545	0.1514	646.5115	3.3819	0.1733	649.1923	3.5455	0.1816
24.4800	0.0532	828.5770	2.9545	0.1573	646.8213	3.3816	0.1800	649.4231	3.5452	0.1887
24.4900	0.0545	828.9155	2.9545	0.1609	647.1310	3.3814	0.1842	649.6538	3.5449	0.1931
24.5000	0.0546	829.2539	2.9545	0.1614	647.4407	3.3811	0.1847	649.8846	3.5446	0.1936
24.5100	0.0535	829.5924	2.9545	0.1582	647.7505	3.3809	0.1810	650.1154	3.5443	0.1898
24.5200	0.0515	829.9309	2.9545	0.1523	648.0602	3.3806	0.1742	650.3462	3.5440	0.1827
24.5300	0.0492	830.2694	2.9545	0.1455	648.3699	3.3804	0.1664	650.5769	3.5437	0.1745
24.5400	0.0471	830.6078	2.9545	0.1391	648.6797	3.3801	0.1591	650.8077	3.5433	0.1668
24.5500	0.0454	830.9463	2.9545	0.1341	648.9894	3.3799	0.1534	651.0385	3.5430	0.1608
24.5600	0.0440	831.2848	2.9545	0.1300	649.2992	3.3796	0.1487	651.2692	3.5427	0.1559
24.5700	0.0431	831.6232	2.9545	0.1273	649.6089	3.3794	0.1456	651.5000	3.5424	0.1526
24.5800	0.0426	831.9617	2.9545	0.1259	649.9186	3.3791	0.1440	651.7308	3.5421	0.1509
24.5900	0.0429	832.3002	2.9545	0.1268	650.2284	3.3789	0.1450	651.9615	3.5418	0.1520
24.6000	0.0442	832.6387	2.9545	0.1305	650.5381	3.3786	0.1492	652.1923	3.5415	0.1564
24.6100	0.0460	832.9771	2.9545	0.1359	650.8478	3.3784	0.1554	652.4231	3.5412	0.1629
24.6200	0.0480	833.3156	2.9545	0.1418	651.1576	3.3781	0.1622	652.6538	3.5409	0.1700
24.6300	0.0502	833.6541	2.9545	0.1482	651.4673	3.3779	0.1694	652.8846	3.5405	0.1776
24.6400	0.0522	833.9925	2.9545	0.1541	651.7771	3.3776	0.1762	653.1154	3.5402	0.1846
24.6500	0.0538	834.3310	2.9545	0.1591	652.0868	3.3774	0.1819	653.3462	3.5399	0.1906
24.6600	0.0548	834.6695	2.9545	0.1618	652.3965	3.3771	0.1850	653.5769	3.5396	0.1939
24.6700	0.0548	835.0079	2.9545	0.1618	652.7063	3.3769	0.1849	653.8077	3.5393	0.1938
24.6800	0.0542	835.3464	2.9545	0.1600	653.0160	3.3766	0.1829	654.0385	3.5390	0.1917
24.6900	0.0529	835.6849	2.9545	0.1564	653.3258	3.3764	0.1787	654.2692	3.5387	0.1873
