#%	-	No tun		Min tun			Age model Tiedemann
#%m	-	age	-	d18O	age	-	d18O	age	-	d18O
5.81	0	204.3472	2.8432	3.8600	187.2700	3.0349	3.8600	179.7300	1.6340	3.8600
5.91	0	207.8644	2.8432	3.8000	190.5700	3.0303	3.8000	184.7000	2.7316	3.8000
6.04	0	212.4367	2.8432	2.9800	194.8600	3.0303	2.9800	188.1500	3.7643	2.9800
6.14	0	215.9539	2.8432	3.3100	198.1600	3.0303	3.3100	190.8100	3.7607	3.3100
6.26	0	220.1745	2.8432	2.2300	202.1200	3.0303	2.2300	194.0000	2.5143	2.2300
6.36	0	223.6916	2.8432	2.7600	205.4200	3.0303	2.7600	199.5600	1.8002	2.7600
6.46	0	227.2088	2.8432	2.7400	208.7200	3.0303	2.7400	205.1100	1.8006	2.7400
6.62	0	232.8362	2.8432	2.7700	214.0000	3.1877	2.7700	214.0000	2.3018	2.7700
6.73	0	236.7051	2.8432	2.9200	217.1900	3.4483	2.9200	216.8400	3.8710	2.9200
6.86	0	241.2774	2.8432	2.9400	220.9600	3.4483	2.9400	220.2000	3.8685	2.9400
6.93	0	243.7394	2.8432	3.5600	222.9900	3.4483	3.5600	222.0100	3.8217	3.5600
7.04	0	247.6083	2.8432	4.0800	226.1800	3.4483	4.0800	224.9100	3.4954	4.0800
7.16	0	251.8289	2.8432	3.3700	229.6600	3.4483	3.3700	228.5900	3.2569	3.3700
7.31	0	257.1047	2.8432	3.7600	234.0100	3.4483	3.7600	233.2000	3.2552	3.7600
7.41	0	260.6218	2.8432	2.9900	236.9100	3.4529	2.9900	236.2700	3.2541	2.9900
7.57	0	266.2493	2.8432	3.0000	241.5400	3.4520	3.0000	241.1900	2.7421	3.0000
7.73	0	271.8768	2.8432	3.7200	246.1800	3.4483	3.7200	247.9400	2.3693	3.7200
7.86	0	276.4491	2.8432	3.9300	249.9500	3.4483	3.9300	253.4300	2.6316	3.9300
7.98	0	280.6697	2.8432	4.0300	253.4300	3.4483	4.0300	257.4400	2.9885	4.0300
8.12	0	285.5937	2.8432	3.7700	257.4900	3.4483	3.7700	262.1300	2.9867	3.7700
8.25	0	290.1660	2.8432	4.1600	261.2600	3.4483	4.1600	266.4800	3.2448	4.1600
8.34	0	293.3315	2.8432	3.9800	263.8700	3.4483	3.9800	268.9100	3.9773	3.9800
8.46	0	297.5521	2.8432	3.8000	267.3500	3.4483	3.8000	271.7600	4.2129	3.8000
8.53	0	300.0141	2.8432	3.9700	269.3800	3.4483	3.9700	273.4200	3.8394	3.9700
8.68	0	305.2898	2.8432	3.7900	273.7300	3.4483	3.7900	277.4900	3.6822	3.7900
8.91	0	313.3793	2.8432	3.4600	280.4000	3.4483	3.4600	283.7400	3.6803	3.4600
9.03	0	317.5999	2.8432	3.0900	283.8800	3.4483	3.0900	287.0000	3.3189	3.0900
9.14	0	321.4688	2.8432	3.1900	287.0700	3.4542	3.1900	290.6700	2.9985	3.1900
9.23	0	324.6342	2.8432	3.7100	289.6700	3.4537	3.7100	293.6700	3.0014	3.7100
9.36	0	329.2065	2.8432	3.9700	293.4400	3.4483	3.9700	298.0000	3.3688	3.9700
9.42	0	331.3168	2.8432	3.7700	295.1800	3.4483	3.7700	299.3100	4.5673	3.7700
9.55	0	335.8891	2.8432	3.7100	298.9500	3.4483	3.7100	302.1600	4.5714	3.7100
9.66	0	339.7580	2.8432	3.1900	302.1400	3.4483	3.1900	304.5600	4.5704	3.1900
9.8	0	344.6820	2.8432	3.0300	306.2000	3.4483	3.0300	307.6300	4.5699	3.0300
10	0	351.7164	2.8432	2.6500	312.0000	3.4568	2.6500	312.0000	3.5309	2.6500
10.08	0	354.5301	2.8432	3.4000	314.3000	3.4816	3.4000	315.5600	2.2500	3.4000
10.18	0	358.0473	2.8432	3.5400	317.1700	3.4913	3.5400	320.0000	2.3295	3.5400
10.22	0	359.4541	2.8432	2.6100	318.3100	3.4884	2.6100	321.5700	2.5460	2.6100
10.36	0	364.3782	2.8432	2.9400	322.3300	3.4833	2.9400	327.0700	2.5451	2.9400
10.46	0	367.8953	2.8432	2.6500	325.2000	3.4843	2.6500	331.0000	3.6276	2.6500
10.66	0	374.9297	2.8432	3.1800	330.9400	3.4830	3.1800	335.3400	4.6107	3.1800
10.91	0	383.7226	2.8432	3.8900	338.1200	3.4810	3.8900	340.7600	4.6089	3.8900
10.99	0	386.5363	2.8432	4.2100	340.4200	3.4853	4.2100	342.5000	5.4167	4.2100
11.17	0	392.8672	2.8432	4.1500	345.5800	3.4840	4.1500	345.5600	5.8824	4.1500
11.36	0	399.5498	2.8432	3.8500	351.0400	3.4834	3.8500	348.7900	5.8824	3.8500
11.58	0	407.2876	2.8432	4.1500	357.3500	3.4850	4.1500	352.5300	5.8824	4.1500
11.72	0	412.2116	2.8432	3.6100	361.3700	3.4848	3.6100	354.9100	5.8824	3.6100
11.81	0	415.3770	2.8432	4.0800	363.9500	3.4826	4.0800	356.4400	5.8824	4.0800
11.86	0	417.1356	2.8432	3.9700	365.3900	3.4826	3.9700	357.2900	5.8824	3.9700
12.02	0	422.7631	2.8432	3.4600	369.9800	3.4843	3.4600	360.0100	5.8824	3.4600
12.16	0	427.6871	2.8432	3.7100	374.0000	3.4839	3.7100	362.3900	5.8824	3.7100
12.29	0	432.2594	2.8432	3.4500	377.7300	3.4833	3.4500	364.6000	5.8824	3.4500
12.4	0	436.1283	2.8432	3.8200	380.8900	3.4843	3.8200	366.4700	5.8824	3.8200
12.49	0	439.2938	2.8432	3.2900	383.4700	3.4833	3.2900	368.0000	2.6876	3.2900
12.64	0	444.5695	2.8432	3.5000	387.7800	3.4814	3.5000	375.4000	2.0266	3.5000
12.78	0	449.4935	2.8432	3.3500	391.8000	3.4839	3.3500	382.3100	2.0270	3.3500
12.91	0	454.0658	2.8432	3.2100	395.5300	3.4858	3.2100	388.7200	2.0279	3.2100
13.1	0	460.7485	2.8432	3.0200	400.9800	3.4847	3.0200	398.0900	2.0270	3.0200
13.24	0	465.6725	2.8432	2.2500	405.0000	3.6115	2.2500	405.0000	2.5350	2.2500
13.39	0	470.9482	2.8432	2.7000	409.0100	3.7383	2.7000	409.5300	3.3058	2.7000
13.4	0	471.2999	2.8432	2.7000	409.2800	3.7356	2.7000	409.8400	3.3079	2.7000
13.52	0	475.5205	2.8432	2.6000	412.4900	3.7406	2.6000	413.4600	3.3113	2.6000
13.7	0	481.8514	2.8432	3.2300	417.3000	3.7440	3.2300	418.9000	3.3084	3.2300
13.83	0	486.4237	2.8432	2.8300	420.7700	3.7398	2.8300	422.8300	3.3046	2.8300
13.93	0	489.9409	2.8432	4.2400	423.4500	3.7398	4.2400	425.8600	3.3094	4.2400
14.06	0	494.5132	2.8432	3.9200	426.9200	3.7453	3.9200	429.7800	3.3113	3.9200
14.13	0	496.9752	2.8432	4.5400	428.7900	3.7433	4.5400	431.9000	3.3175	4.5400
14.27	0	501.8993	2.8432	4.5700	432.5300	3.7383	4.5700	436.1100	3.3254	4.5700
14.41	0	506.8233	2.8432	4.4100	436.2800	3.7356	4.4100	440.3200	3.3248	4.4100
14.53	0	511.0439	2.8432	4.1900	439.4900	3.7398	4.1900	443.9300	3.3237	4.1900
14.64	0	514.9128	2.8432	4.1600	442.4300	3.7410	4.1600	447.2400	3.3248	4.1600
14.79	0	520.1885	2.8432	4.3700	446.4400	3.7410	4.3700	451.7500	3.3248	4.3700
14.9	0	524.0574	2.8432	4.1700	449.3800	3.7427	4.1700	455.0600	3.3229	4.1700
15.11	0	531.4434	2.8432	4.1300	454.9900	3.7428	4.1300	461.3800	3.3248	4.1300
15.29	0	537.7743	2.8432	3.7400	459.8000	3.7427	3.7400	466.7900	3.3264	3.7400
15.43	0	542.6984	2.8432	4.2800	463.5400	3.7406	4.2800	471.0000	3.3784	4.2800
15.44	0	543.0501	2.8432	4.0300	463.8100	3.7383	4.0300	471.2300	4.4077	4.0300
15.59	0	548.3258	2.8432	3.2100	467.8200	3.7418	3.2100	474.6300	4.4053	3.2100
15.84	0	557.1187	2.8432	3.7700	474.5000	3.7383	3.7700	480.3100	4.4025	3.7700
15.87	0	558.1739	2.8432	3.6800	475.3100	3.7234	3.6800	480.9900	4.4025	3.6800
15.91	0	559.5808	2.8432	3.2800	476.3800	3.7383	3.2800	481.9000	4.3956	3.2800
15.95	0	560.9876	2.8432	3.3100	477.4500	3.7433	3.3100	482.8100	4.4025	3.3100
16.05	0	564.5048	2.8432	3.2200	480.1200	3.7415	3.2200	485.0800	4.4177	3.2200
16.06	0	564.8565	2.8432	3.4800	480.3900	3.7453	3.4800	485.3000	4.4053	3.4800
16.15	0	568.0219	2.8432	3.1300	482.7900	3.7453	3.1300	487.3500	4.4053	3.1300
16.26	0	571.8908	2.8432	2.8100	485.7300	3.7369	2.8100	489.8400	4.4092	2.8100
16.4	0	576.8149	2.8432	3.3100	489.4800	3.7383	3.3100	493.0200	4.4037	3.3100
16.5	0	580.3320	2.8432	2.9000	492.1500	3.7433	2.9000	495.2900	4.4025	2.9000
16.61	0	584.2009	2.8432	3.0600	495.0900	3.7441	3.0600	497.7900	4.4037	3.0600
16.74	0	588.7732	2.8432	3.2500	498.5600	3.7398	3.2500	500.7400	4.4061	3.2500
16.84	0	592.2904	2.8432	3.2800	501.2400	3.7402	3.2800	503.0100	4.4084	3.2800
16.93	0	595.4558	2.8432	3.4700	503.6400	3.7415	3.4700	505.0500	4.4000	3.4700
17.06	0	600.0281	2.8432	3.2900	507.1200	3.7369	3.2900	508.0100	4.4014	3.2900
17.18	0	604.2487	2.8432	3.5500	510.3300	3.7415	3.5500	510.7300	4.4088	3.5500
17.28	0	607.7659	2.8432	3.5400	513.0000	3.0956	3.5400	513.0000	3.4226	3.5400
17.41	0	612.3382	2.8432	3.5400	517.7600	2.7290	3.5400	517.4500	2.9228	3.5400
17.56	0	617.6140	2.8432	3.3400	523.2600	2.7293	3.3400	522.5800	2.9240	3.3400
17.66	0	621.1311	2.8432	3.2200	526.9200	2.7295	3.2200	526.0000	2.8387	3.2200
17.78	0	625.3517	2.8432	3.2200	531.3200	2.7273	3.2200	530.3300	2.7714	3.2200
17.9	0	629.5723	2.8432	3.5500	535.7200	2.7282	3.5500	534.6600	2.7719	3.5500
18.04	0	634.4963	2.8432	3.8100	540.8500	2.7290	3.8100	539.7100	2.7695	3.8100
18.18	0	639.4204	2.8432	4.0600	545.9800	2.7311	4.0600	544.7700	2.7689	4.0600
18.3	0	643.6410	2.8432	4.0400	550.3700	2.7293	4.0400	549.1000	2.7716	4.0400
18.43	0	648.2133	2.8432	4.1800	555.1400	2.7282	4.1800	553.7900	2.7719	4.1800
18.56	0	652.7856	2.8432	3.8300	559.9000	2.7298	3.8300	558.4800	2.7701	3.8300
18.73	0	658.7648	2.8432	3.6700	566.1300	2.7301	3.6700	564.6200	2.7712	3.6700
18.91	0	665.0957	2.8432	3.2800	572.7200	2.7311	3.2800	571.1100	2.7719	3.2800
18.99	0	667.9094	2.8432	3.0500	575.6500	2.7289	3.0500	574.0000	3.2397	3.0500
19.36	0	680.9229	2.8432	3.8600	589.2100	2.7282	3.8600	585.0000	2.3636	3.8600
19.51	0	686.1986	2.8432	3.1600	594.7100	2.7298	3.1600	596.0000	1.8927	3.1600
19.66	0	691.4744	2.8432	3.8100	600.2000	2.7298	3.8100	600.8500	3.0928	3.8100
19.81	0	696.7501	2.8432	3.5900	605.7000	2.8527	3.5900	605.7000	3.2485	3.5900
20.03	0	704.4879	2.8432	3.7100	613.1700	2.9457	3.7100	612.2400	3.3628	3.7100
20.19	0	710.1154	2.8432	2.2100	618.6000	2.9470	2.2100	617.0000	3.9683	2.2100
20.33	0	715.0394	2.8432	3.0600	623.3500	2.9474	3.0600	619.8000	5.0000	3.0600
20.47	0	719.9634	2.8432	3.3100	628.1000	2.9443	3.3100	622.6000	5.0000	3.3100
20.61	0	724.8875	2.8432	3.4000	632.8600	2.9446	3.4000	625.4000	5.0000	3.4000
20.72	0	728.7563	2.8432	3.7200	636.5900	2.9484	3.7200	627.6000	5.0000	3.7200
20.85	0	733.3286	2.8432	4.1400	641.0000	2.9451	4.1400	630.2000	5.0000	4.1400
20.94	0	736.4941	2.8432	4.4200	644.0600	2.9466	4.4200	632.0000	1.7611	4.4200
21.17	0	744.5836	2.8432	3.8800	651.8600	2.9471	3.8800	648.3700	1.4048	3.8800
