"E","C"
0.876313561061475,0.104809477321029
0.874484267484476,0.106162591722269
0.873302840297529,0.107018666861745
0.876140110490747,0.104925337743426
0.877769310534059,0.103704487646556
0.867152504877375,0.111537669829908
0.868019547345191,0.110888083501196
0.875551331339682,0.105365115470752
0.867951874534442,0.110965255635109
0.873366128066096,0.106972436535495
0.873726122567363,0.106697225909127
0.875082614887124,0.10571267285682
0.875027053375325,0.105743771265931
0.870500592172873,0.109089222137077
0.872604446483868,0.107517876011908
0.866146334093923,0.112262244920261
0.875870788291841,0.105122816439856
0.876411789272543,0.104718899174066
0.877599479184954,0.103840826064253
0.879902182534384,0.102113413933653
0.866770852274566,0.11180976583266
0.874403150997106,0.106199044192299
0.875466635181778,0.10543351971592
0.87265360351563,0.107507957449936
0.876200411752307,0.104887761832743
0.870186324222449,0.109320911883844
0.87117094365591,0.10858827702446
0.874979162658772,0.105777403324633
0.871832717650968,0.108105449533404
0.870661473061213,0.108969010310732
0.877273845735632,0.104058842605845
0.877560545902785,0.103877108613657
0.87608853202501,0.104983379535017
0.875587504165688,0.105328983841725
0.872534666637258,0.107584243553697
0.879318264044098,0.102633684620683
0.87312266394082,0.107150457908763
0.869862875225874,0.109548899549683
0.874194206648861,0.106364339894792
0.869224770785938,0.11000151407176
0.883433908759024,0.0995156633847154
0.87826997230203,0.103354717185453
0.876420176373485,0.104713685876482
0.87457682950953,0.106083881330865
0.874877891362483,0.105892757684166
0.875619625626374,0.105317539991292
0.877366580758197,0.103998788278364
0.874660387686129,0.106020316905762
0.875360413675356,0.105518291488163
0.874995452609155,0.105783042612004
0.878938236581871,0.102840298972478
0.874823823816437,0.105894257764917
0.872100393728247,0.107940456689748
0.875990145258092,0.105044873298483
0.874574109028727,0.10608931455508
0.873144449649303,0.10714109935587
0.87245225646005,0.107669667487983
0.879287968153809,0.102565232680738
0.871897965598365,0.108060803189832
0.88083711444131,0.101449689118519
0.878175915473398,0.10340917184582
0.871739185322987,0.108178891767782
0.878817930236313,0.102943957133595
0.880248352106165,0.101852895727541
0.877190583609712,0.104125753912647
0.873054313098791,0.107206867313074
0.877297654876606,0.104063050578502
0.87174346658865,0.108163512473896
0.870170289143375,0.109299209389525
0.870860200117873,0.108830553651482
0.875735518294291,0.105306003604185
0.872186271266125,0.1078540355972
0.870576110901669,0.109033844794004
0.878670233158218,0.10303625526334
0.866324218813082,0.112150705306687
0.873785856051161,0.106687258287544
0.877363807785049,0.103998197516418
0.877828272976946,0.103669264493508
0.872342276861203,0.107724076510571
0.87213119630299,0.107881753005287
0.87208435624571,0.107898512815185
0.878399450039212,0.103242238207328
0.875213691057234,0.105601612827682
0.881000069438646,0.101287525844288
0.872286685347476,0.107792733182987
0.877844679870931,0.103668056140525
0.874951749620301,0.105802742670077
0.874818277493249,0.105899939507785
0.866587420175591,0.112012093652567
0.867772279619846,0.111079053387404
0.872999552096765,0.107197293079063
0.874669760739794,0.106010486525862
0.875996508022561,0.105019877484671
0.8820076997576,0.100527365551519
0.87106882099961,0.108655775552915
0.877544658408934,0.10387579926168
0.875994933309377,0.105039990010763
0.873001247952028,0.107266980156183
0.876807106303858,0.104420465198289
0.870488007051962,0.109091786939489
0.876382440327275,0.104736099726651
0.870440520974084,0.109124594380772
0.873875810937938,0.10660138543354
0.876138175697602,0.104930868888912
0.881402204491859,0.100984044069416
0.880330355154628,0.101820116753096
0.873479961338591,0.106872632549123
0.871887742069865,0.10807048436047
0.870862040585875,0.10885303182596
0.873559006530789,0.106885580910679
0.874732714484579,0.105960083957962
0.875555127907163,0.105362180536541
0.879196455221718,0.102642011508641
0.877007443120943,0.104274003855384
0.873155189487497,0.107136724171509
0.880129085374727,0.101960312797172
0.865384675258487,0.112853254473219
0.870141127078608,0.1093535173231
0.869693212055828,0.109686209138858
0.865654647479029,0.112620929206387
0.875888254049539,0.105103074282089
